olympic_record_id,athlete_name,age,year,medal,country,sport,event
681,Louis Bastien,18.0,1900,Gold,France,Cycling,Cycling Men's 25 kilometres
682,Guillaume Bastille,24.0,2010,Gold,Canada,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
683,Dsir Bastin,20.0,1920,Gold,Belgium,Football,Football Men's Football
684,Waldemar Romuald Baszanowski,29.0,1964,Gold,Poland,Weightlifting,Weightlifting Men's Lightweight
685,Waldemar Romuald Baszanowski,33.0,1968,Gold,Poland,Weightlifting,Weightlifting Men's Lightweight
688,Walter Bathe,19.0,1912,Gold,Germany,Swimming,Swimming Men's 200 metres Breaststroke
689,Walter Bathe,19.0,1912,Gold,Germany,Swimming,Swimming Men's 400 metres Breaststroke
690,Roberto Battaglia,43.0,1952,Gold,Italy,Fencing,"Fencing Men's epee, Team"
691,Mavlet Alavdinovich Batyrov,20.0,2004,Gold,Russia,Wrestling,"Wrestling Men's Featherweight, Freestyle"
692,Mavlet Alavdinovich Batyrov,24.0,2008,Gold,Russia,Wrestling,"Wrestling Men's Lightweight, Freestyle"
694,Fritz Bauer,30.0,1936,Gold,Germany,Rowing,Rowing Men's Coxed Fours
695,Paul Friedrich Peter Bauer,35.0,1932,Gold,Germany,Art Competitions,Art Competitions Mixed Literature
696,Rudolf (-Rezs) Bauer,21.0,1900,Gold,Hungary,Athletics,Athletics Men's Discus Throw
697,Sybil Lorina Bauer,20.0,1924,Gold,United States,Swimming,Swimming Women's 100 metres Backstroke
698,Viola Bauer,25.0,2002,Gold,Germany,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
699,Pierre Baugniet,22.0,1948,Gold,Belgium,Figure Skating,Figure Skating Mixed Pairs
700,"Hermine ""Herma"" Bauma",33.0,1948,Gold,Austria,Athletics,Athletics Women's Javelin Throw
701,"Alexander ""Alex"" Baumann",20.0,1984,Gold,Canada,Swimming,Swimming Men's 200 metres Individual Medley
702,"Alexander ""Alex"" Baumann",20.0,1984,Gold,Canada,Swimming,Swimming Men's 400 metres Individual Medley
703,Dieter Baumann,27.0,1992,Gold,Germany,Athletics,"Athletics Men's 5,000 metres"
705,Wilhelm Baumann,23.0,1936,Gold,Germany,Handball,Handball Men's Handball
708,Bruce Robert Baumgartner,23.0,1984,Gold,United States,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
709,Bruce Robert Baumgartner,31.0,1992,Gold,United States,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
710,"James Aloysius Bernard ""Jim"" Bausch",26.0,1932,Gold,United States,Athletics,Athletics Men's Decathlon
712,Daniel Bautista Rocha,23.0,1976,Gold,Mexico,Athletics,Athletics Men's 20 kilometres Walk
713,Florence  Andre Isabelle Baverel-Robert,31.0,2006,Gold,France,Biathlon,Biathlon Women's 7.5 kilometres Sprint
714,"Irving Knott ""Irv"" Baxter",24.0,1900,Gold,United States,Athletics,Athletics Men's High Jump
715,"Irving Knott ""Irv"" Baxter",24.0,1900,Gold,United States,Athletics,Athletics Men's Pole Vault
716,Ryan Neville Bayley,22.0,2004,Gold,Australia,Cycling,Cycling Men's Sprint
717,Ryan Neville Bayley,22.0,2004,Gold,Australia,Cycling,Cycling Men's Keirin
718,Mithat Bayrak,27.0,1956,Gold,Turkey,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
719,Mithat Bayrak,31.0,1960,Gold,Turkey,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
720,Svetlana Valeryevna Bazhanova,21.0,1994,Gold,Russia,Speed Skating,"Speed Skating Women's 3,000 metres"
724,"Robert ""Bob"" Beamon",22.0,1968,Gold,United States,Athletics,Athletics Men's Long Jump
725,Amanda Ray Beard (-Brown),14.0,1996,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay
726,Amanda Ray Beard (-Brown),22.0,2004,Gold,United States,Swimming,Swimming Women's 200 metres Breaststroke
727,"Elizabeth Ann ""Betsy"" Beard (-Stillings)",22.0,1984,Gold,United States,Rowing,Rowing Women's Coxed Eights
728,"Ralph Milton Beard, Jr.",20.0,1948,Gold,United States,Basketball,Basketball Men's Basketball
729,Clment Beaud,19.0,2000,Gold,Cameroon,Football,Football Men's Football
730,Roger Joseph Edmond Beaufrand,19.0,1928,Gold,France,Cycling,Cycling Men's Sprint
731,Bronisaw Bebel,27.0,1976,Gold,Poland,Volleyball,Volleyball Men's Volleyball
735,Luigi Beccali,24.0,1932,Gold,Italy,Athletics,"Athletics Men's 1,500 metres"
736,Kelly Bchard,24.0,2002,Gold,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey
737,Petre Becheru,24.0,1984,Gold,Romania,Weightlifting,Weightlifting Men's Light-Heavyweight
739,"Lewis William ""Lew"" Beck, Jr.",26.0,1948,Gold,United States,Basketball,Basketball Men's Basketball
740,Nicole Elise Beck,28.0,2016,Gold,Australia,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
742,Daniel Becke,22.0,2000,Gold,Germany,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
743,Andreas Becker,22.0,1992,Gold,Germany,Hockey,Hockey Men's Hockey
744,Boris Franz Becker,24.0,1992,Gold,Germany,Tennis,Tennis Men's Doubles
745,Otto Becker,41.0,2000,Gold,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team"
746,"Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)",21.0,1924,Gold,United States,Diving,Diving Women's Springboard
747,"Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)",25.0,1928,Gold,United States,Diving,Diving Women's Platform
748,Franz Ernst Beckert,29.0,1936,Gold,Germany,Gymnastics,Gymnastics Men's Team All-Around
749,Stephanie Beckert,21.0,2010,Gold,Germany,Speed Skating,Speed Skating Women's Team Pursuit (6 laps)
750,William Russell Becklean,20.0,1956,Gold,United States,Rowing,Rowing Men's Coxed Eights
751,ric Bdard,21.0,1998,Gold,Canada,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
752,ric Bdard,25.0,2002,Gold,Canada,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
753,Myriam Bdard,24.0,1994,Gold,Canada,Biathlon,Biathlon Women's 7.5 kilometres Sprint
754,Myriam Bdard,24.0,1994,Gold,Canada,Biathlon,Biathlon Women's 15 kilometres
755,"Barbara Jane ""B. J."" Bedford (-Miller)",27.0,2000,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay
756,"Donald Anton Eilers ""Don"" Beer",21.0,1956,Gold,United States,Rowing,Rowing Men's Coxed Eights
758,Ludger Beerbaum,28.0,1992,Gold,Germany,Equestrianism,"Equestrianism Mixed Jumping, Individual"
759,Ludger Beerbaum,32.0,1996,Gold,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team"
760,Ludger Beerbaum,37.0,2000,Gold,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team"
762,"Daniel ""Dan"" Beery",29.0,2004,Gold,United States,Rowing,Rowing Men's Coxed Eights
764,Dale Begg-Smith,21.0,2006,Gold,Australia,Freestyle Skiing,Freestyle Skiing Men's Moguls
765,Giuseppe Beghetto,20.0,1960,Gold,Italy,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
766,Petra Behle-Schaaf,29.0,1998,Gold,Germany,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay
772,Wolfgang Behrendt,20.0,1956,Gold,Germany,Boxing,Boxing Men's Bantamweight
773,Melanie Behringer,30.0,2016,Gold,Germany,Football,Football Women's Football
774,"Anthonie Christiaan ""Teun"" Beijnen",24.0,1924,Gold,Netherlands,Rowing,Rowing Men's Coxless Pairs
775,Ruth Beita Vila,37.0,2016,Gold,Spain,Athletics,Athletics Women's High Jump
776,Sofia Bekatorou (-Kosmatopoulos),26.0,2004,Gold,Greece,Sailing,Sailing Women's Two Person Dinghy
777,Kenenisa Bekele Beyecha,22.0,2004,Gold,Ethiopia,Athletics,"Athletics Men's 10,000 metres"
778,Kenenisa Bekele Beyecha,26.0,2008,Gold,Ethiopia,Athletics,"Athletics Men's 5,000 metres"
779,Kenenisa Bekele Beyecha,26.0,2008,Gold,Ethiopia,Athletics,"Athletics Men's 10,000 metres"
780,Aleksandr Vladimirovich Beketov,26.0,1996,Gold,Russia,Fencing,"Fencing Men's epee, Individual"
781,Kristin Bekkevold,23.0,2000,Gold,Norway,Football,Football Women's Football
782,Daniel N'Dene Bekono,22.0,2000,Gold,Cameroon,Football,Football Men's Football
783,Tracey Lee Belbin,21.0,1988,Gold,Australia,Hockey,Hockey Women's Hockey
784,Mathew Belcher,29.0,2012,Gold,Australia,Sailing,Sailing Men's Two Person Dinghy
786,"Gregory Curtis ""Greg"" Bell",26.0,1956,Gold,United States,Athletics,Athletics Men's Long Jump
787,"Florence Isabel ""Jane"" Bell (-Walker, -Doane)",17.0,1928,Gold,Canada,Athletics,Athletics Women's 4 x 100 metres Relay
788,Regla Maritza Bell McKenzie,22.0,1992,Gold,Cuba,Volleyball,Volleyball Women's Volleyball
789,Regla Maritza Bell McKenzie,26.0,1996,Gold,Cuba,Volleyball,Volleyball Women's Volleyball
790,Regla Maritza Bell McKenzie,30.0,2000,Gold,Cuba,Volleyball,Volleyball Women's Volleyball
791,"Walter Jones ""Walt"" Bellamy, Jr.",23.0,1960,Gold,United States,Basketball,Basketball Men's Basketball
792,"Norman Dean ""Norm"" Bellingham",23.0,1988,Gold,United States,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
794,Ettore Bellotto,25.0,1920,Gold,Italy,Gymnastics,Gymnastics Men's Team All-Around
795,Antonella Bellutti,27.0,1996,Gold,Italy,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres"
796,Antonella Bellutti,31.0,2000,Gold,Italy,Cycling,Cycling Women's Points Race
798,Stefania Belmondo,23.0,1992,Gold,Italy,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
799,Stefania Belmondo,33.0,2002,Gold,Italy,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres
800,Mireia Belmonte Garca,25.0,2016,Gold,Spain,Swimming,Swimming Women's 200 metres Butterfly
804,"Melissa Louise Belote (-Hamlin, -Ripley)",15.0,1972,Gold,United States,Swimming,Swimming Women's 100 metres Backstroke
805,"Melissa Louise Belote (-Hamlin, -Ripley)",15.0,1972,Gold,United States,Swimming,Swimming Women's 200 metres Backstroke
806,"Melissa Louise Belote (-Hamlin, -Ripley)",15.0,1972,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay
812,Irina Olegovna Belova,19.0,2000,Gold,Russia,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
813,Olesya Vladimirovna Belugina,20.0,2004,Gold,Russia,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
816,Ferenc Bene,19.0,1964,Gold,Hungary,Football,Football Men's Football
817,Emil Benecke,29.0,1928,Gold,Germany,Water Polo,Water Polo Men's Water Polo
818,Gbor Benedek,25.0,1952,Gold,Hungary,Modern Pentathlon,Modern Pentathlon Men's Team
819,Tibor Benedek,28.0,2000,Gold,Hungary,Water Polo,Water Polo Men's Water Polo
820,Tibor Benedek,32.0,2004,Gold,Hungary,Water Polo,Water Polo Men's Water Polo
821,Tibor Benedek,36.0,2008,Gold,Hungary,Water Polo,Water Polo Men's Water Polo
822,Charles Sumner Benedict,40.0,1908,Gold,United States,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team"
823,Andrea Benelli,44.0,2004,Gold,Italy,Shooting,Shooting Men's Skeet
824,Bengt Folke Bengtsson,22.0,1920,Gold,Sweden,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
826,Lindsay Dianne Benko (-Mintenko),23.0,2000,Gold,United States,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
827,Lindsay Dianne Benko (-Mintenko),27.0,2004,Gold,United States,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
828,"James Randolph ""Jamie"" Benn",24.0,2014,Gold,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey
829,"Huelet Leo ""Joe"" Benner",34.0,1952,Gold,United States,Shooting,"Shooting Men's Free Pistol, 50 metres"
830,"Robert Earl ""Bob"" Bennett",17.0,1960,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
831,"Robert Earl ""Bob"" Bennett",21.0,1964,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
832,Brooke Marie Bennett (-Frioud),16.0,1996,Gold,United States,Swimming,Swimming Women's 800 metres Freestyle
833,Brooke Marie Bennett (-Frioud),20.0,2000,Gold,United States,Swimming,Swimming Women's 400 metres Freestyle
834,Brooke Marie Bennett (-Frioud),20.0,2000,Gold,United States,Swimming,Swimming Women's 800 metres Freestyle
839,Carina Marguerite Benninga,21.0,1984,Gold,Netherlands,Hockey,Hockey Women's Hockey
840,Joan Benoit (-Samuelson),27.0,1984,Gold,United States,Athletics,Athletics Women's Marathon
841,"Robert John ""Bobby"" Benson",25.0,1920,Gold,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey
844,"William Bruce ""Bill"" Bentsen",42.0,1972,Gold,United States,Sailing,Sailing Mixed Three Person Keelboat
845,"Joseph ""Gunnar"" Bentz",20.0,2016,Gold,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
846,"Giovanni ""Nino"" Benvenuti",22.0,1960,Gold,Italy,Boxing,Boxing Men's Welterweight
849,Gheorghe Berceanu,22.0,1972,Gold,Romania,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman"
850,Tibor Berczelly (Berczeller-),24.0,1936,Gold,Hungary,Fencing,"Fencing Men's Sabre, Team"
851,Tibor Berczelly (Berczeller-),36.0,1948,Gold,Hungary,Fencing,"Fencing Men's Sabre, Team"
852,Tibor Berczelly (Berczeller-),40.0,1952,Gold,Hungary,Fencing,"Fencing Men's Sabre, Team"
854,"Richard ""Ricky"" Berens",20.0,2008,Gold,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
855,"Richard ""Ricky"" Berens",24.0,2012,Gold,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
860,Dmitry Vladimirovich Berestov,24.0,2004,Gold,Russia,Weightlifting,Weightlifting Men's Heavyweight
861,Yury Viktorovich Berezhko,28.0,2012,Gold,Russia,Volleyball,Volleyball Men's Volleyball
865,Eero Edvin Berg,26.0,1924,Gold,Finland,Athletics,"Athletics Men's Cross-Country, Team"
866,Laura Kay Berg,21.0,1996,Gold,United States,Softball,Softball Women's Softball
867,Laura Kay Berg,25.0,2000,Gold,United States,Softball,Softball Women's Softball
868,Laura Kay Berg,29.0,2004,Gold,United States,Softball,Softball Women's Softball
869,Giancarlo Bergamini,30.0,1956,Gold,Italy,Fencing,"Fencing Men's Foil, Team"
870,Alfred Berger,29.0,1924,Gold,Austria,Figure Skating,Figure Skating Mixed Pairs
871,Herman Georges Berger,32.0,1908,Gold,France,Fencing,"Fencing Men's epee, Team"
872,"Isaac ""Ike"" Berger",20.0,1956,Gold,United States,Weightlifting,Weightlifting Men's Featherweight
875,"Samuel ""Sam"" Berger",19.0,1904,Gold,United States,Boxing,Boxing Men's Heavyweight
876,Tora Berger (-Tveldal),28.0,2010,Gold,Norway,Biathlon,Biathlon Women's 15 kilometres
877,Tora Berger (-Tveldal),32.0,2014,Gold,Norway,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
878,Tore Berger,23.0,1968,Gold,Norway,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
879,Patrice Bergeron-Cleary,24.0,2010,Gold,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey
880,Patrice Bergeron-Cleary,28.0,2014,Gold,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey
881,"Rafael ""Rafa"" Berges Marn",21.0,1992,Gold,Spain,Football,Football Men's Football
882,Evy Margareta Berggren (-Westerberg),18.0,1952,Gold,Sweden,Gymnastics,Gymnastics Women's Team Portable Apparatus
883,Ralph Douglas Charles Berglund,29.0,1994,Gold,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey
884,Hans Gustaf Bo Berglund,30.0,1948,Gold,Sweden,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
885,Adolf Bergman,33.0,1912,Gold,Sweden,Tug-Of-War,Tug-Of-War Men's Tug-Of-War
886,Arnfinn Bergmann,23.0,1952,Gold,Norway,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
887,Eric Bergoust,28.0,1998,Gold,United States,Freestyle Skiing,Freestyle Skiing Men's Aerials
889,Pr Jonas Bergqvist,31.0,1994,Gold,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey
890,Jacob Jorrit Bergsma,28.0,2014,Gold,Netherlands,Speed Skating,"Speed Skating Men's 10,000 metres"
892,Krisztin Berki,27.0,2012,Gold,Hungary,Gymnastics,Gymnastics Men's Pommelled Horse
893,"David Charles ""Dave"" Berkoff",21.0,1988,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
894,"David Charles ""Dave"" Berkoff",25.0,1992,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
896,Tell Schirnding Berna,20.0,1912,Gold,United States,Athletics,"Athletics Men's 3,000 metres, Team"
897,Alain Andr Louis Edmond Bernard,25.0,2008,Gold,France,Swimming,Swimming Men's 100 metres Freestyle
898,Alain Andr Louis Edmond Bernard,29.0,2012,Gold,France,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
899,Sylvie Bernier,20.0,1984,Gold,Canada,Diving,Diving Women's Springboard
901,Gilles Berolatti,24.0,1968,Gold,France,Fencing,"Fencing Men's Foil, Team"
902,Livio Berruti,21.0,1960,Gold,Italy,Athletics,Athletics Men's 200 metres
905,Kevin John Berry,19.0,1964,Gold,Australia,Swimming,Swimming Men's 200 metres Butterfly
907,Walter Helmut Berthold,25.0,1936,Gold,Germany,Handball,Handball Men's Handball
908,Lszl Berti (Berty),36.0,1912,Gold,Hungary,Fencing,"Fencing Men's Sabre, Team"
909,Carl Adolf Hjalmar Bertilsson,18.0,1908,Gold,Sweden,Gymnastics,Gymnastics Men's Team All-Around
910,Per Daniel Bertilsson,19.0,1912,Gold,Sweden,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
911,Franco Bertinetti,29.0,1952,Gold,Italy,Fencing,"Fencing Men's epee, Team"
912,Franco Bertinetti,33.0,1956,Gold,Italy,Fencing,"Fencing Men's epee, Team"
913,Marcello Bertinetti,39.0,1924,Gold,Italy,Fencing,"Fencing Men's Sabre, Team"
914,Marcello Bertinetti,43.0,1928,Gold,Italy,Fencing,"Fencing Men's epee, Team"
915,Sergio Bertoni,20.0,1936,Gold,Italy,Football,Football Men's Football
916,Ryan Thomas Berube,22.0,1996,Gold,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
917,Aldis Imants Berzins,27.0,1984,Gold,United States,Volleyball,Volleyball Men's Volleyball
919,Doina Ofelia Beliu-Melinte,27.0,1984,Gold,Romania,Athletics,Athletics Women's 800 metres
920,Colette Besson (-Nogus),22.0,1968,Gold,France,Athletics,Athletics Women's 400 metres
922,Danny Betancourt Chacn,23.0,2004,Gold,Cuba,Baseball,Baseball Men's Baseball
923,"Janice ""Jan"" Betker",37.0,1998,Gold,Canada,Curling,Curling Women's Curling
925,Jean-Christophe Bette,22.0,2000,Gold,France,Rowing,Rowing Men's Lightweight Coxless Fours
926,Paolo Bettini,30.0,2004,Gold,Italy,Cycling,"Cycling Men's Road Race, Individual"
928,Jos Beyaert,22.0,1948,Gold,France,Cycling,"Cycling Men's Road Race, Individual"
929,Hans Anton Beyer,22.0,1912,Gold,Norway,Gymnastics,"Gymnastics Men's Team All-Around, Free System"
932,Jamie Lynn Beyerle-Gray (-Corkish),28.0,2012,Gold,United States,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
934,Vasudevan Bhaskaran,29.0,1980,Gold,India,Hockey,Hockey Men's Hockey
936,Carlo Biagi,22.0,1936,Gold,Italy,Football,Football Men's Football
939,Diana Bianchedi,22.0,1992,Gold,Italy,Fencing,"Fencing Women's Foil, Team"
940,Diana Bianchedi,30.0,2000,Gold,Italy,Fencing,"Fencing Women's Foil, Team"
941,Sergio Bianchetto,21.0,1960,Gold,Italy,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
942,Sergio Bianchetto,25.0,1964,Gold,Italy,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
944,Pietro Bianchi,29.0,1912,Gold,Italy,Gymnastics,Gymnastics Men's Team All-Around
945,Pietro Bianchi,37.0,1920,Gold,Italy,Gymnastics,Gymnastics Men's Team All-Around
946,Suzannah Bianco,23.0,1996,Gold,United States,Synchronized Swimming,Synchronized Swimming Women's Team
947,Michel Bibard,25.0,1984,Gold,France,Football,Football Men's Football
948,Nino Bibbia,25.0,1948,Gold,Italy,Skeleton,Skeleton Men's Skeleton
950,Ferdinand Reinhardt Bie,24.0,1912,Gold,Norway,Athletics,Athletics Men's Pentathlon
951,Arno Bieberstein,21.0,1908,Gold,Germany,Swimming,Swimming Men's 100 metres Backstroke
952,"Heidi Biebl (-Schmid, -Prelevi)",19.0,1960,Gold,Germany,Alpine Skiing,Alpine Skiing Women's Downhill
953,Sebastian Friedrich Felix Biederlack,26.0,2008,Gold,Germany,Hockey,Hockey Men's Hockey
954,Christoph Bieler,28.0,2006,Gold,Austria,Nordic Combined,Nordic Combined Men's Team
958,Jerome Cousins Biffle,24.0,1952,Gold,United States,Athletics,Athletics Men's Long Jump
959,Tyrell Biggs,23.0,1984,Gold,United States,Boxing,Boxing Men's Super-Heavyweight
961,Dominique Bijotat,23.0,1984,Gold,France,Football,Football Men's Football
962,Abebe Bikila,28.0,1960,Gold,Ethiopia,Athletics,Athletics Men's Marathon
963,Abebe Bikila,32.0,1964,Gold,Ethiopia,Athletics,Athletics Men's Marathon
964,Yordan Bikov,19.0,1972,Gold,Bulgaria,Weightlifting,Weightlifting Men's Middleweight
965,Ahmet Bilek,,1960,Gold,Turkey,Wrestling,"Wrestling Men's Flyweight, Freestyle"
966,Simone Arianne Biles,19.0,2016,Gold,United States,Gymnastics,Gymnastics Women's Individual All-Around
967,Simone Arianne Biles,19.0,2016,Gold,United States,Gymnastics,Gymnastics Women's Team All-Around
968,Simone Arianne Biles,19.0,2016,Gold,United States,Gymnastics,Gymnastics Women's Floor Exercise
969,Simone Arianne Biles,19.0,2016,Gold,United States,Gymnastics,Gymnastics Women's Horse Vault
970,Gazanfer Bilge,24.0,1948,Gold,Turkey,Wrestling,"Wrestling Men's Featherweight, Freestyle"
972,Charles W. Billings,45.0,1912,Gold,United States,Shooting,"Shooting Men's Trap, Team"
973,"Alexandre ""Alex"" Bilodeau",22.0,2010,Gold,Canada,Freestyle Skiing,Freestyle Skiing Men's Moguls
974,"Alexandre ""Alex"" Bilodeau",26.0,2014,Gold,Canada,Freestyle Skiing,Freestyle Skiing Men's Moguls
979,Thomas Bimis,29.0,2004,Gold,Greece,Diving,Diving Men's Synchronized Springboard
980,Abhinav Bindra,25.0,2008,Gold,India,Shooting,"Shooting Men's Air Rifle, 10 metres"
982,Bino Bini,24.0,1924,Gold,Italy,Fencing,"Fencing Men's Sabre, Team"
984,"Matthew Nicholas ""Matt"" Biondi",18.0,1984,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
985,"Matthew Nicholas ""Matt"" Biondi",22.0,1988,Gold,United States,Swimming,Swimming Men's 50 metres Freestyle
986,"Matthew Nicholas ""Matt"" Biondi",22.0,1988,Gold,United States,Swimming,Swimming Men's 100 metres Freestyle
987,"Matthew Nicholas ""Matt"" Biondi",22.0,1988,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
988,"Matthew Nicholas ""Matt"" Biondi",22.0,1988,Gold,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
989,"Matthew Nicholas ""Matt"" Biondi",22.0,1988,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
990,"Matthew Nicholas ""Matt"" Biondi",26.0,1992,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
991,"Matthew Nicholas ""Matt"" Biondi",26.0,1992,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
992,Carl Fabian Birck,26.0,1920,Gold,Sweden,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
993,Larry Joe Bird,35.0,1992,Gold,United States,Basketball,Basketball Men's Basketball
994,"Suzanne Brigit ""Sue"" Bird",23.0,2004,Gold,United States,Basketball,Basketball Women's Basketball
995,"Suzanne Brigit ""Sue"" Bird",27.0,2008,Gold,United States,Basketball,Basketball Women's Basketball
996,"Suzanne Brigit ""Sue"" Bird",31.0,2012,Gold,United States,Basketball,Basketball Women's Basketball
997,"Suzanne Brigit ""Sue"" Bird",35.0,2016,Gold,United States,Basketball,Basketball Women's Basketball
998,Matthew Kiprotich Birir,20.0,1992,Gold,Kenya,Athletics,"Athletics Men's 3,000 metres Steeplechase"
1002,Pter Biros,24.0,2000,Gold,Hungary,Water Polo,Water Polo Men's Water Polo
1003,Pter Biros,28.0,2004,Gold,Hungary,Water Polo,Water Polo Men's Water Polo
1004,Pter Biros,32.0,2008,Gold,Hungary,Water Polo,Water Polo Men's Water Polo
1005,Vera Leonidovna Biryukova,18.0,2016,Gold,Russia,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
1007,Ole Bischof,28.0,2008,Gold,Germany,Judo,Judo Men's Half-Middleweight
1010,Ralph English Bishop,20.0,1936,Gold,United States,Basketball,Basketball Men's Basketball
1011,Klaus Bittner,21.0,1960,Gold,Germany,Rowing,Rowing Men's Coxed Eights
1012,Amos Kipwabok Biwott,21.0,1968,Gold,Kenya,Athletics,"Athletics Men's 3,000 metres Steeplechase"
1013,Dallas Denver Bixler,22.0,1932,Gold,United States,Gymnastics,Gymnastics Men's Horizontal Bar
1015,Ernst Gunnar Bjrk,21.0,1912,Gold,Sweden,Cycling,"Cycling Men's Road Race, Team"
1016,Carl August Bjrkman,42.0,1912,Gold,Sweden,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
1017,Lars Sigurd Bjorkstrom,36.0,1980,Gold,Brazil,Sailing,Sailing Mixed Multihull
1018,Marit Bjrgen,29.0,2010,Gold,Norway,Cross Country Skiing,Cross Country Skiing Women's Sprint
1019,Marit Bjrgen,29.0,2010,Gold,Norway,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon
1020,Marit Bjrgen,29.0,2010,Gold,Norway,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
1021,Marit Bjrgen,33.0,2014,Gold,Norway,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
1022,Marit Bjrgen,33.0,2014,Gold,Norway,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon
1023,Marit Bjrgen,33.0,2014,Gold,Norway,Cross Country Skiing,Cross Country Skiing Women's Team Sprint
1024,Ole Einar Bjrndalen,24.0,1998,Gold,Norway,Biathlon,Biathlon Men's 10 kilometres Sprint
1025,Ole Einar Bjrndalen,28.0,2002,Gold,Norway,Biathlon,Biathlon Men's 10 kilometres Sprint
1026,Ole Einar Bjrndalen,28.0,2002,Gold,Norway,Biathlon,Biathlon Men's 12.5 kilometres Pursuit
1027,Ole Einar Bjrndalen,28.0,2002,Gold,Norway,Biathlon,Biathlon Men's 20 kilometres
1028,Ole Einar Bjrndalen,28.0,2002,Gold,Norway,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
1029,Ole Einar Bjrndalen,36.0,2010,Gold,Norway,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
