olympic_record_id,athlete_name,age,year,medal,country,sport,event
426,"Horace Ashenfelter, III",29.0,1952,Gold,United States,Athletics,"Athletics Men's 3,000 metres Steeplechase"
427,Evelyn Ashford (-Washington),27.0,1984,Gold,United States,Athletics,Athletics Women's 100 metres
428,Evelyn Ashford (-Washington),27.0,1984,Gold,United States,Athletics,Athletics Women's 4 x 100 metres Relay
429,Evelyn Ashford (-Washington),31.0,1988,Gold,United States,Athletics,Athletics Women's 4 x 100 metres Relay
430,Evelyn Ashford (-Washington),35.0,1992,Gold,United States,Athletics,Athletics Women's 4 x 100 metres Relay
431,"Thomas John Mitchell ""Tom"" Ashley",24.0,2008,Gold,New Zealand,Sailing,Sailing Men's Windsurfer
432,Nickel Ashmeade,26.0,2016,Gold,Jamaica,Athletics,Athletics Men's 4 x 100 metres Relay
433,"Gerald Howard ""Gerry"" Ashworth",22.0,1964,Gold,United States,Athletics,Athletics Men's 4 x 100 metres Relay
434,Khurshid Aslam,24.0,1960,Gold,Pakistan,Hockey,Hockey Men's Hockey
435,Sardar Mohammad Aslam,,1932,Gold,India,Hockey,Hockey Men's Hockey
436,Brahim Asloum,21.0,2000,Gold,France,Boxing,Boxing Men's Light-Flyweight
438,Gunnar Henry Asmussen,24.0,1968,Gold,Denmark,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
439,Karl-ke Asph,24.0,1964,Gold,Sweden,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
441,Valerio Aspromonte,25.0,2012,Gold,Italy,Fencing,"Fencing Men's Foil, Team"
448,Heidi Astrup,24.0,1996,Gold,Denmark,Handball,Handball Women's Handball
449,Mahmut Atalay,34.0,1968,Gold,Turkey,Wrestling,"Wrestling Men's Welterweight, Freestyle"
451,Manzoor Hussain Atif,31.0,1960,Gold,Pakistan,Hockey,Hockey Men's Hockey
452,Celal Atik (Doan-),,1948,Gold,Turkey,Wrestling,"Wrestling Men's Lightweight, Freestyle"
454,"Sidney James Montford ""Sid"" Atkinson",27.0,1928,Gold,South Africa,Athletics,Athletics Men's 110 metres Hurdles
455,smet Atl,,1960,Gold,Turkey,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
456,Francesco Attolico,29.0,1992,Gold,Italy,Water Polo,Water Polo Men's Water Polo
458,"Susanne Jean ""Susie"" Atwood",19.0,1972,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay
459,Fernando Atzori,22.0,1964,Gold,Italy,Boxing,Boxing Men's Flyweight
462,Alfred Aufdenblatten,26.0,1924,Gold,Switzerland,Military Ski Patrol,Military Ski Patrol Men's Military Ski Patrol
463,Sandra Auffarth,25.0,2012,Gold,Germany,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
464,Andr Auffray,23.0,1908,Gold,France,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
465,Inger Reidun Aufles (Dving-),26.0,1968,Gold,Norway,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay
467,Seimone Delicia Augustus,24.0,2008,Gold,United States,Basketball,Basketball Women's Basketball
468,Seimone Delicia Augustus,28.0,2012,Gold,United States,Basketball,Basketball Women's Basketball
469,Seimone Delicia Augustus,32.0,2016,Gold,United States,Basketball,Basketball Women's Basketball
470,Anders Aukland,29.0,2002,Gold,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
471,Gaston Achille Louis Aumoitte,15.0,1900,Gold,France,Croquet,"Croquet Mixed Singles, One Ball"
472,Gaston Achille Louis Aumoitte,15.0,1900,Gold,France,Croquet,Croquet Mixed Doubles
473,Berit Kristine Aunli-Kvello,27.0,1984,Gold,Norway,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
474,Charles Allen Austin,28.0,1996,Gold,United States,Athletics,Athletics Men's High Jump
475,"Michael MacKay ""Mike"" Austin",21.0,1964,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
477,"ngel Pedro Victorio ""Vctor"" Avendao",20.0,1928,Gold,Argentina,Boxing,Boxing Men's Light-Heavyweight
481,Giorgio Avola,23.0,2012,Gold,Italy,Fencing,"Fencing Men's Foil, Team"
482,Nduka Awazie,19.0,2000,Gold,Nigeria,Athletics,Athletics Men's 4 x 400 metres Relay
483,Anders Per-Johan Axelsson,30.0,2006,Gold,Sweden,Ice Hockey,Ice Hockey Men's Ice Hockey
484,Charles Sumner Axtell,49.0,1908,Gold,United States,Shooting,"Shooting Men's Free Pistol, 50 yards, Team"
485,William Ayache,23.0,1984,Gold,France,Football,Football Men's Football
486,Roberto Fabin Ayala,31.0,2004,Gold,Argentina,Football,Football Men's Football
487,Almaz Ayana Eba,24.0,2016,Gold,Ethiopia,Athletics,"Athletics Women's 10,000 metres"
488,Albert Jean Louis Ayat,25.0,1900,Gold,France,Fencing,"Fencing Men's epee, Masters, Individual"
489,Albert Jean Louis Ayat,25.0,1900,Gold,France,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual"
490,Ahmet Ayk,30.0,1968,Gold,Turkey,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
491,"Arthur DeLancey ""Dan"" Ayrault, Jr.",21.0,1956,Gold,United States,Rowing,Rowing Men's Coxed Pairs
